comet-11-19,comet-11-20
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
comet-11-36,comet-11-19
comet-11-36,comet-11-20
comet-11-36,comet-11-21
comet-11-36,comet-11-22
comet-11-36,comet-11-23
comet-11-36,comet-11-24
comet-11-36,comet-11-25
comet-11-36,comet-11-26
comet-11-36,comet-11-27
comet-11-36,comet-11-28
comet-11-36,comet-11-29
comet-11-36,comet-11-30
comet-11-36,comet-11-31
comet-11-36,comet-11-32
comet-11-36,comet-11-33
comet-11-36,comet-11-34
comet-11-36,comet-11-35
19
36
42
[1.12, 1.18, 1.13, 1.14, 1.12, 1.11, 1.22, 1.12, 1.11, 1.13, 1.12, 1.21, 1.14, 1.14, 1.12, 1.11, 1.12, 1.13, 1.17, 1.11, 1.11, 1.11, 1.1, 1.1, 1.15, 1.14, 1.11, 1.12, 1.11, 1.15, 1.11, 1.12, 1.11, 1.14, 1.11, 1.12, 1.17, 1.11, 1.12, 1.12, 1.1, 1.13]
306
